               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07149,            0.059213,            0.037802,             0.59123,             0.60977,             0.57051,             0.31301,            0.046226,            0.027154,            0.025499,             0.07004,           0.0033289,           0.0033289
                   1,             0.05221,            0.046066,            0.015806,             0.86959,              0.7273,             0.75541,             0.47733,            0.036429,            0.023279,            0.012134,             0.03872,           0.0053431,           0.0053431
                   2,            0.045701,             0.04133,           0.0090903,             0.89394,             0.83008,             0.88751,             0.59373,            0.032146,            0.021398,           0.0064932,           0.0060813,           0.0060373,           0.0060373
                   3,            0.038717,            0.038318,           0.0061176,             0.89685,             0.91145,             0.91227,             0.65947,            0.027696,            0.020287,           0.0039661,             0.00406,             0.00406,             0.00406
                   4,            0.036894,            0.037342,           0.0048001,              0.8728,             0.92713,             0.92028,             0.67671,            0.026904,            0.019035,           0.0028616,             0.00406,             0.00406,             0.00406
